Name,RegisterNumber,Gender,ProfileImage,Department,CurrentSemester,Sem1_Total,Sem2_Total,Sem3_Total,Sem4_Total,Sem5_Total,Sem6_Total,Sem1_Attendance,Sem2_Attendance,Sem3_Attendance,Sem4_Attendance,Sem5_Attendance,Sem6_Attendance,22AI037,22AI501,22AI502,22AI503,22AI504,Attendance
Anika Singh,TEXT2026200,Male,,Textile Technology,6,349,353,381,393,410,399,77,83,90,96,95,89,78,56,41,45,54,80
Poornesh,7376232AD209,Male,7376232ad209_ce56421a.jpg,Artificial Intelligence and Data Science,6,440,452,464,476,488,500,82,85,88,91,94,97,100,100,100,100,100,97
Rahul Verma,COMP2026201,Male,,Computer Science & Engineering,6,300,300,300,300,300,300,74,71,69,67,64,62,32,41,38,29,36,62
Priya Sharma,INFO2026202,Female,,Information Technology,6,300,300,300,300,300,300,72,69,66,63,61,60,44,39,42,35,37,58
Arjun Singh,ELEC2026203,Male,,Electronics & Communication Engineering,6,300,300,300,300,300,300,73,71,70,69,68,67,40,36,34,31,38,67
Meera Nair,MECH2026204,Female,,Mechanical Engineering,6,300,300,300,300,300,300,75,73,71,68,66,64,37,42,35,33,39,64
Karthik Raj,CIVI2026205,Male,,Civil Engineering,6,300,300,300,300,300,300,71,69,67,65,63,60,34,40,37,32,35,60
Ananya Das,BIOT2026206,Female,,Biotechnology,6,300,300,300,300,300,300,74,72,69,66,64,61,39,43,36,31,39,61
Vignesh Kumar,AIMA2026207,Male,,Artificial Intelligence and Machine Learning,6,300,300,300,300,300,300,73,71,69,66,63,60,35,38,41,33,39,59
Lakshmi Iyer,COMP2026208,Female,,Computer Science & Business Systems,6,300,300,300,300,300,300,74,72,70,68,65,63,41,37,35,34,40,63
Surya Prakash,AGRI2026209,Male,,Agricultural Engineering,6,300,300,300,300,300,300,72,70,68,65,62,60,33,39,36,31,44,57
Tanvi Mishra,TEXT2026210,Female,,Textile Technology,6,300,300,300,300,300,300,74,73,71,69,66,64,42,38,40,34,42,64
